data,date,hits,geo,time,keyword,gprop,category,gender,prior_vperc,prior_vperc_fct
1,2019-06-25T07:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T08:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T09:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T10:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T11:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T12:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T13:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T14:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T15:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T16:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T17:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T18:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T19:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T20:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T21:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T22:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T23:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T00:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T01:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T02:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T03:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T04:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T05:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T06:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T07:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T08:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T09:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T10:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T11:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T12:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T13:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T14:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T15:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T16:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T17:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T18:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T19:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T20:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T21:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T22:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T23:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T00:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T01:00:00Z,18,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T02:00:00Z,42,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T03:00:00Z,22,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T04:00:00Z,7,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T05:00:00Z,11,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T06:00:00Z,7,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T07:00:00Z,4,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T08:00:00Z,7,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T09:00:00Z,4,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T10:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T11:00:00Z,6,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T12:00:00Z,3,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T13:00:00Z,5,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T14:00:00Z,4,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T15:00:00Z,4,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T16:00:00Z,4,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T17:00:00Z,3,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T18:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T19:00:00Z,3,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T20:00:00Z,2,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T21:00:00Z,3,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T22:00:00Z,3,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
